bolgeler;il;ilce;biyometanizasyona_uygun_belediye_atiklarim_miktari_ton_yil;yakmaya_uygun_belediye_atiklari_miktari_ton_yil;biyometanizasyona_uygun_belediye_atiklari_enerji_esdegeri_tep_yil;yakmaya_uygun_belediye_tiklari_enerji_esdegeri_tep_yil;biyometanizasyona_ve_yakmaya_uygun_toplam_enerjiesdegeri_tep_yil
Akdeniz Bölgesi;Antalya;Korkuteli;9150,7;11184,2;295,1;1901,7;2196,8
Akdeniz Bölgesi;Antalya;Kaþ;9625,1;11764;310,4;2000,2;2310,6
Akdeniz Bölgesi;Antalya;Manavgat;37875,6;46292,3;1221,5;7871,1;9092,6
Akdeniz Bölgesi;Antalya;Kumluca;11269,2;13773,5;363,4;2341,9;2705,3
Akdeniz Bölgesi;Antalya;Kemer;7099,9;8677,6;229;1475,5;1704,5
Akdeniz Bölgesi;Antalya;Aksu;11767,4;14382,3;379,5;2445,4;2824,9
Akdeniz Bölgesi;Antalya;Serik;20422;24960,3;658,6;4244;4902,6
Akdeniz Bölgesi;Antalya;Demre;4252,9;5198;137,2;883,8;1021
Akdeniz Bölgesi;Antalya;Döþemealtý;10378,3;12684,6;334,7;2156,8;2491,5
Akdeniz Bölgesi;Antalya;Kepez;87318,4;106722,5;2816;18146,1;20962,1
Akdeniz Bölgesi;Antalya;Konyaaltý;29911,9;36559;964,7;6216,1;7180,8
Akdeniz Bölgesi;Antalya;Muratpaþa;81416,8;99509,4;2625,7;16919,6;19545,3
Akdeniz Bölgesi;Antalya;Ýbradý;594,3;726,3;46072;123,5;46195,5
Karadeniz Bölgesi;Artvin;Ardanuç;1782,2;2178,2;57,5;305;362,5
Karadeniz Bölgesi;Artvin;Arhavi;3104,8;3794,7;100,1;531,4;631,5
Karadeniz Bölgesi;Artvin;Borçka;3769,5;4607,2;121,6;645,1;766,7
Karadeniz Bölgesi;Artvin;Hopa;3810,2;4656,9;122,9;652,1;775
Karadeniz Bölgesi;Artvin;Þavþat;2602,6;3181;83,9;445,4;529,3
Karadeniz Bölgesi;Artvin;Murgul;984,2;1202,9;46234;168,4;46402,4
Karadeniz Bölgesi;Artvin;Merkez;5185,8;6338,3;167,2;887,5;1054,7
Karadeniz Bölgesi;Artvin;Yusufeli;3073,9;3757;99,1;526,1;625,2
Karadeniz Bölgesi;Artvin;Kemalpaþa;1409,8;1723,1;45,5;241,3;286,8
Ege Bölgesi;Aydýn;Çine;9480,8;11587,6;305,8;1970,2;2276
Ege Bölgesi;Aydýn;Bozdoðan;6448,1;7881;208;1340;1548
Ege Bölgesi;Aydýn;Germencik;8366,7;10226;269,8;1738,7;2008,5
Ege Bölgesi;Aydýn;Koçarlý;4518,6;5522,7;145,7;939;1084,7
Ege Bölgesi;Aydýn;Karacasu;3564,1;4356,1;114,9;740,7;855,6
